genre,category,title,year,distribution,description,url,cover_photo
Action,Hollywood,Avengers - Endgame,2019,BluRay,"The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios' grand conclusion to twenty-two films, Avengers: Endgame....<more>",https://fzmovies.net/movie-Avengers%20-%20Endgame--hmp4.htm,https://fzmovies.net/imdb_images/Avengers.Endgame.2019.jpg
Action,Hollywood,Avengers Infinity War,2018,BluRay,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe. ...<more>,https://fzmovies.net/movie-Avengers%20Infinity%20War--hmp4.htm,https://fzmovies.net/imdb_images/Avengers.Infinity.War.2018.jpg
Action,Hollywood,Spider Man Far from Home,2019,BluRay,"Following the events of Avengers: Endgame, SUPERHERO Spider-Man must step up to take on new threats in a world that has changed forever. Tags : vacation...<more>",https://fzmovies.net/movie-Spider%20Man%20Far%20from%20Home--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.Far.From.Home.2019.jpg
Action,Hollywood,John Wick Chapter 3 Parabellum,2019,BluRay,"In this third installment of the adrenaline-fueled action franchise, skilled assassin John Wick (Keanu Reeves) returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin's guild, the High Table,…Tags : sequel | chase | dog...<more>",https://fzmovies.net/movie-John%20Wick%20Chapter%203%20Parabellum--hmp4.htm,https://fzmovies.net/imdb_images/John.Wick.3.2019.jpg
Action,Hollywood,Spider Man No Way Home,2021,BluRay,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.Tags : superhero | based on comic | marvel comics...<more>",https://fzmovies.net/movie-Spider%20Man%20No%20Way%20Home--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.No.Way.Home.2021.jpg
Action,Hollywood,Fast and Furious Presents - Hobbs and Shaw,2019,BluRay,Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.,https://fzmovies.net/movie-Fast%20and%20Furious%20Presents%20-%20Hobbs%20and%20Shaw--hmp4.htm,https://fzmovies.net/imdb_images/Hobbs.and.Shaw.2019.jpg
Action,Hollywood,Black Panther,2018,BluRay,"T'Challa, after the death of his father, the King of Wakanda, returns home to the isolated, technologically advanced African nation to succeed to the throne and take his rightful place as king.
Action,Hollywood,Black Panther Wakanda Forever,2022,BluRay,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.Tags : sequel | second part | superhero | marvel comics...<more>,https://fzmovies.net/movie-Black%20Panther%20Wakanda%20Forever--hmp4.htm,https://fzmovies.net/imdb_images/Black.Panther.Wakanda.Forever.2022.jpg
Action,Hollywood,Aquaman,2018,BluRay,"Arthur Curry learns that he is the heir to the underwater kingdom of Atlantis, and must step forward to lead his people and be a hero to the world.Tags : ocean...<more>",https://fzmovies.net/movie-Aquaman--hmp4.htm,https://fzmovies.net/imdb_images/Aquaman.2018.jpg
Action,Hollywood,Bad Boys for Life,2020,BluRay,"Marcus and Mike have to confront new issues (career changes and midlife crises), as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.Tags : detective...<more>",https://fzmovies.net/movie-Bad%20Boys%20for%20Life--hmp4.htm,https://fzmovies.net/imdb_images/Bad.Boys.for.Life.2020.jpg
Action,Hollywood,Fast and Furious 9,2021,BluRay,"Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team.",https://fzmovies.net/movie-Fast%20and%20Furious%209--hmp4.htm,https://fzmovies.net/imdb_images/Fast.And.Furious.9.2021.jpg
Action,Hollywood,Jumanji The Next Level,2019,BluRay,"The gang is back but the game has changed. As they return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored, from the arid deserts to the snowy mountains, in order to escape the world's most dangerous…Tags : sequel | christmas...<more>",https://fzmovies.net/movie-Jumanji%20The%20Next%20Level--hmp4.htm,https://fzmovies.net/imdb_images/Jumanji.The.Next.Level.2019.jpg
Action,Hollywood,John Wick Chapter 4,2023,BluRay,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.Tags : fourth part | assassin | sequel...<more>",https://fzmovies.net/movie-John%20Wick%20Chapter%204--hmp4.htm,https://fzmovies.net/imdb_images/John.Wick.Chapter.4.2023.jpg
Action,Hollywood,Captain Marvel,2019,BluRay,Carol Danvers becomes one of the universe's most powerful superheroes when Earth is caught in the middle of a galactic war between two alien races.,https://fzmovies.net/movie-Captain%20Marvel--hmp4.htm,https://fzmovies.net/imdb_images/Captain.Marvel.2019.jpg
Action,Hollywood,Deadpool 2,2018,BluRay,"After surviving a near fatal bovine attack, a disfigured cafeteria chef (Wade Wilson) struggles to fulfill his dream of becoming Mayberry's hottest bartender while also learning to cope with his lost sense of taste. Searching to regain his spice for life, as well as a flux capacitor, Wade must…Tags : mutant...<more>",https://fzmovies.net/movie-Deadpool%202--hmp4.htm,https://fzmovies.net/imdb_images/Deadpool.2.2018.jpg
Action,Hollywood,Dark Phoenix,2019,BluRay,Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix. Now the X-Men will have to decide if the life of a team member is worth more than all the people living in the world. ...<more>,https://fzmovies.net/movie-Dark%20Phoenix--hmp4.htm,https://fzmovies.net/imdb_images/Dark.Phoenix.2019.jpg
Action,Hollywood,Extraction 2020,2020,WEB-DL,"In an underworld of weapons dealers and traffickers, a young boy becomes the pawn in a war between notorious drug lords. Trapped by kidnappers inside one of the world's most impenetrable cities, his rescue beckons the unparalleled skill of a mercenary named Tyler Rake, but Rake is a broken man with…...<more>",https://fzmovies.net/movie-Extraction%202020--hmp4.htm,https://fzmovies.net/imdb_images/Extraction.2020.jpg
